iter	MultiClass
0	1.060521831
1	1.027882658
2	1.000583664
3	0.9695097567
4	0.9441809448
5	0.9219838723
6	0.8946970158
7	0.873669763
8	0.8534890269
9	0.8348928263
10	0.8173889305
11	0.7984313133
12	0.783871678
13	0.7670239474
14	0.7507029992
15	0.7341417054
16	0.7220573495
17	0.7081217333
18	0.6955973727
19	0.685002295
20	0.6731110806
21	0.6632037671
22	0.6547884116
23	0.644257696
24	0.6335157159
25	0.6236610572
26	0.6149197161
27	0.6073197237
28	0.6009965444
29	0.5948334335
30	0.5892859694
31	0.5834821059
32	0.5750711636
33	0.5691369874
34	0.5621247637
35	0.5560066786
36	0.5499753976
37	0.5454367191
38	0.5410431489
39	0.5359222444
40	0.5311261422
41	0.5284691793
42	0.5230715855
43	0.5179708185
44	0.5144720117
45	0.5106654972
46	0.5064366615
47	0.5020384019
48	0.498812068
49	0.4947609255
50	0.4916236142
51	0.4883169255
52	0.4837175205
53	0.4812093575
54	0.4786328629
55	0.4764524381
56	0.4734313109
57	0.4682195863
58	0.4643545654
59	0.460934263
60	0.4570401293
61	0.4552624606
62	0.4525334981
63	0.4499491524
64	0.4468648931
65	0.4444885098
66	0.4426480434
67	0.4402460371
68	0.4367427963
69	0.434292993
70	0.4313956297
71	0.4288629327
72	0.4266356597
73	0.4243981555
74	0.4222651841
75	0.4198459473
76	0.4178064097
77	0.4142737542
78	0.4118145117
79	0.4093275779
80	0.4070460509
81	0.4054210565
82	0.4038925983
83	0.4016556907
84	0.3991537589
85	0.3974637463
86	0.3947567457
87	0.3926469133
88	0.3905043731
89	0.387784924
90	0.3852905332
91	0.383659845
92	0.3828037119
93	0.3813078014
94	0.378894519
95	0.37627956
96	0.3745315629
97	0.3721607326
98	0.3701746137
99	0.3688241438
100	0.3667792934
101	0.3649304346
102	0.3629075632
103	0.3608900908
104	0.3585508478
105	0.3562983878
106	0.3544629652
107	0.352189469
108	0.3510003481
109	0.3494858647
110	0.3484268739
111	0.3470298827
112	0.3450231666
113	0.3438286602
114	0.3418936943
115	0.3404391389
116	0.3388017197
117	0.337614504
118	0.3353988619
119	0.3333434147
120	0.332229554
121	0.3308806845
122	0.329442715
123	0.3285081404
124	0.3272074521
125	0.3260912686
126	0.3247870818
127	0.3235027585
128	0.3223093152
129	0.3212149525
130	0.3202595481
131	0.3190706426
132	0.31782983
133	0.3166271216
134	0.3156561746
135	0.3143606745
136	0.3134063864
137	0.3121654561
138	0.3110329327
139	0.3097344
140	0.3088581019
141	0.3080509726
142	0.3071398956
143	0.3063848013
144	0.3051768922
145	0.3040327921
146	0.3035120251
147	0.3024763152
148	0.3018177241
149	0.3010679252
150	0.3002746272
151	0.298531383
152	0.2981704473
153	0.2970129458
154	0.2963703165
155	0.2955835915
156	0.2945470067
157	0.2937953827
158	0.2926974288
159	0.2917590149
160	0.2909347445
161	0.2900646803
162	0.2892453224
163	0.2885301118
164	0.2879362999
165	0.2873095613
166	0.2856998586
167	0.2851120254
168	0.2836993262
169	0.2831154496
170	0.2820039008
171	0.2814566911
172	0.2806021063
173	0.2800599616
174	0.2792029745
175	0.2784445342
176	0.2778443362
177	0.2772124121
178	0.2764806416
179	0.2758809175
180	0.2752741472
181	0.2744029172
182	0.2737398348
183	0.2727867276
184	0.2718892896
185	0.2710206631
186	0.2702345412
187	0.2692155046
188	0.2684463567
189	0.2677553171
190	0.2671276456
191	0.2664328966
192	0.2655419211
193	0.2651806276
194	0.2644658604
195	0.263687168
196	0.262971206
197	0.2623950736
198	0.2618320481
199	0.2611052337
200	0.2607080049
201	0.2601362345
202	0.2596649951
203	0.2592644536
204	0.2587347061
205	0.2580854078
206	0.2574847355
207	0.2567821531
208	0.2562184175
209	0.2557008693
210	0.255290922
211	0.2547351648
212	0.2544095509
213	0.2538466785
214	0.2531706726
215	0.2527591166
216	0.2518935285
217	0.2512339627
218	0.2507660403
219	0.2502877136
220	0.2498010795
221	0.2493849219
222	0.2489942749
223	0.248494816
224	0.2480984761
225	0.2476902599
226	0.2471683878
227	0.2467553165
228	0.2461790911
229	0.2457719084
230	0.2450444956
231	0.2444970095
232	0.2440915508
233	0.2436036196
234	0.242857198
235	0.2424990739
236	0.2420581357
237	0.2416533596
238	0.2413229248
239	0.240759957
240	0.2402058683
241	0.2395042591
242	0.2390030995
243	0.2383744094
244	0.2380194404
245	0.2376161264
246	0.237138377
247	0.2364926404
248	0.2360189829
249	0.2355234283
250	0.2350360679
251	0.2344022178
252	0.2338521632
253	0.2333712795
254	0.2328940218
255	0.2323659399
256	0.2322011722
257	0.2318241566
258	0.2314858075
259	0.2310866279
260	0.2307215064
261	0.2302901912
262	0.2299694195
263	0.2296494034
264	0.2293945728
265	0.2289195119
266	0.2284800676
267	0.2279688736
268	0.2274196762
269	0.2268108498
270	0.2264371898
271	0.2260336525
272	0.2255857791
273	0.2252009308
274	0.2249307048
275	0.2246839488
276	0.224359083
277	0.2240399389
278	0.2237665944
279	0.2234317358
280	0.223128303
281	0.2224490604
282	0.2221242821
283	0.2216356887
284	0.2213053763
285	0.2210326047
286	0.2206161868
287	0.2203010956
288	0.2199936246
289	0.2196471704
290	0.2192943322
291	0.21901905
292	0.2186478682
293	0.218324317
294	0.2178406866
295	0.2174662579
296	0.2169443176
297	0.2165126578
298	0.2162539192
299	0.2159527502
300	0.2156634789
301	0.215400022
302	0.215133384
303	0.2148715427
304	0.2146329168
305	0.2144218935
306	0.2140857221
307	0.2139266596
308	0.2135759895
309	0.2133865792
310	0.2131588457
311	0.2129201076
312	0.2124754531
313	0.2121316719
314	0.2118723887
315	0.211568085
316	0.2112118552
317	0.210910464
318	0.2105825729
319	0.210281228
320	0.2100605487
321	0.2097477295
322	0.2093831668
323	0.2091260703
324	0.2088867639
325	0.2085828582
326	0.2083564581
327	0.2081408509
328	0.2078740001
329	0.2075936657
330	0.2073862227
331	0.2070764042
332	0.2067092204
333	0.2063499597
334	0.206129906
335	0.205894467
336	0.2056570684
337	0.205351257
338	0.2050386922
339	0.2047915209
340	0.2045815059
341	0.2043288113
342	0.2041077431
343	0.2038127857
344	0.2034835751
345	0.203143522
346	0.2029141225
347	0.2025095874
348	0.2024135437
349	0.2021778595
350	0.2018400561
351	0.2015978811
352	0.2013875719
353	0.201175107
354	0.2009979948
355	0.2007908319
356	0.2006021031
357	0.2004208534
358	0.2002039609
359	0.2000080206
360	0.1997144416
361	0.1994665451
362	0.1991791394
363	0.1990041591
364	0.1986879888
365	0.1985195584
366	0.1983243178
367	0.1981064632
368	0.1978796722
369	0.1977067148
370	0.1976054456
371	0.197293296
372	0.1971295348
373	0.1969188243
374	0.1967946294
375	0.1965656793
376	0.1963151944
377	0.1959644626
378	0.1956871485
379	0.1954955922
380	0.1953084059
381	0.1950163738
382	0.1948141226
383	0.1946128453
384	0.194447913
385	0.1942366006
386	0.1940026628
387	0.193792744
388	0.1935941057
389	0.1933685892
390	0.1932051067
391	0.1930735326
392	0.1929089081
393	0.1927103195
394	0.1925051609
395	0.1921927722
396	0.1920012695
397	0.1918080924
398	0.1916092711
399	0.1914105173
400	0.191208169
401	0.1908388207
402	0.190708325
403	0.1905210918
404	0.1902926022
405	0.1900780026
406	0.1898891877
407	0.1896780664
408	0.1895748804
409	0.1893531111
410	0.189188867
411	0.1889967423
412	0.1887963861
413	0.1884863776
414	0.1884089186
415	0.1882713384
416	0.1880934844
417	0.187920005
418	0.1876910485
419	0.1875040247
420	0.1873373139
421	0.1872075746
422	0.1870578366
423	0.1868727156
424	0.1866478018
425	0.1865355552
426	0.186396966
427	0.1862170852
428	0.1859644401
429	0.1857767165
430	0.1856084424
431	0.1854004086
432	0.1852927848
433	0.1851252139
434	0.1849772086
435	0.1848537188
436	0.1847017822
437	0.184497538
438	0.1843404586
439	0.1842048393
440	0.1840828806
441	0.1839714752
442	0.1837828905
443	0.1835915259
444	0.1833885742
445	0.1832044542
446	0.1830433402
447	0.1829278313
448	0.182778269
449	0.1825516482
450	0.1823373602
451	0.1822256135
452	0.182020398
453	0.181879217
454	0.1817551613
455	0.1816639845
456	0.1814136366
457	0.1812635346
